"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
"ratio_65",0.3139229192892,0.0829643851689232,0.245069850345431,0.00527984250311146,0.0203554715558309
"LQ_1",0.293719021865815,0.0801606093541051,0.239652724528842,-0.108725198801554,-0.0095699684866681
"LQ_2",0.0587042509212353,0.013585651712319,0.136669944026121,-0.00171705007964566,0.779911345982997
"LQ_3",0.0626017432249723,-0.421641137229556,-0.273594695761049,-0.20828540131765,-0.150216834793176
"LQ_4",0.276999179504579,0.0596981317325063,0.263975939213204,-0.206170015972746,-0.14945122041032
"LQ_5",0.265509886910903,-0.112763686169378,-0.231639357651797,0.0244364097245549,0.0466695659443843
"LQ_6",0.209141601193112,0.148171248263159,-0.0499945645200976,0.165487407241837,-0.297679885671299
"LQ_7",-0.254906810589722,-0.01197556257623,0.0681315145834125,-0.0398565002477326,-0.0668813451436225
"LQ_8",0.0389442998016582,-0.262317493726024,-0.117982828341091,-0.178427657264327,0.303248880487129
"LQ_9",0.0919068897625187,0.257159042181659,-0.185361713242132,0.608651248022149,0.149738531527699
"LQ_10",-0.254464789788291,-0.0818593555188384,0.387904950413791,0.00583072319347121,0.0182847192535852
"LQ_11",-0.1042482900835,-0.0465597869527542,0.436856980930109,0.325227789625423,-0.217881924343689
"LQ_12",-0.330189858618749,-0.0429825260636762,0.0316999844517239,-0.0377888775964841,0.174060749743244
"LQ_13",-0.286758059346126,-0.0663715748788702,0.356856498210709,0.0377431921379271,-0.0229660703579334
"LQ_14",-0.25725386040167,-0.0309674367569857,-0.138978196694582,0.292051598054151,0.0139034271141535
"LQ_15",0.291861684735676,0.14945424260037,0.203935672002731,0.0999648020294239,0.223117334753035
"LQ_16",-0.265178638199564,0.264882963635598,-0.122055226400051,-0.224718127505417,0.0493697621312248
"LQ_17",-0.0993904848289337,0.434305449693364,0.0776718261871739,-0.435051836710338,0.00507213930967342
"LQ_18",-0.207723905596143,0.308251875592595,-0.18995199445504,0.0987720404429655,0.024845218788108
"LQ_19",0.0180372932742621,0.493138975069114,-0.150438286135404,-0.13009065945292,-0.0707044949101683
